SRR7239362_1_1.fastq.res,SRR7239362_2_1.fastq.res,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
0.7,0.0,Bacteria,unk_k,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,,
0.25,0.0,Bacteria,unk_k,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus parasanguinis
0.23,0.0,Bacteria,unk_k,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,uncultured Streptococcus sp.
0.0,0.36,Bacteria,unk_k,Firmicutes,Bacilli,unk_o,unk_f,,
0.9,2.03,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,Christensenellaceae,,
2.08,2.61,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Alkaliphilus,Alkaliphilus metalliredigens
33.48,41.23,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium perfringens
0.0,6.46,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium sp. PCP02
103.03999999999999,20.18,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,
24.08,36.459999999999994,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,uncultured Clostridium sp.
254.72000000000003,377.90999999999997,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,,
0.0,1.04,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Paraclostridium,Paraclostridium bifermentans
0.21,0.64,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,unk_g,uncultured Clostridiaceae bacterium
5.02,5.53,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,uncultured Eubacterium sp.
1.48,0.0,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,Eubacteriales Family XII. Incertae Sedis,Guggenheimella,
5.050000000000001,1.0999999999999999,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,Eubacteriales Family XII. Incertae Sedis,,
6.85,4.76,Bacteria,unk_k,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,,
